Linux 6.11.0-17-generic (Saldamelik) 	23/02/2025 	_x86_64_	(16 CPU)

18:25:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:25:43      13    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:43      14    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97
18:25:43      15    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00

18:25:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:25:44     all    2,07    0,00    0,88    0,00    0,00    0,00    0,00    0,00    0,00   97,05
18:25:44       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:44       1    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
18:25:44       2   26,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   72,00
18:25:44       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:44       4    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
18:25:44       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:44       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:44       7    2,00    0,00    9,00    0,00    0,00    0,00    0,00    0,00    0,00   89,00
18:25:44       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:44       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:44      10    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
18:25:44      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:44      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:44      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:44      14    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:44      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

18:25:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:25:45     all    3,45    0,00    1,69    0,00    0,00    0,00    0,00    0,00    0,00   94,86
18:25:45       0   16,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   83,00
18:25:45       1    5,05    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   93,94
18:25:45       2    5,05    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   93,94
18:25:45       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:45       4    6,06    0,00    4,04    0,00    0,00    0,00    0,00    0,00    0,00   89,90
18:25:45       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:45       6    9,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   88,00
18:25:45       7    2,97    0,00    8,91    0,00    0,00    0,00    0,00    0,00    0,00   88,12
18:25:45       8    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
18:25:45       9    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
18:25:45      10    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:45      11    2,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
18:25:45      12    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
18:25:45      13    4,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
18:25:45      14    1,02    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   96,94
18:25:45      15    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00

18:25:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:25:46     all    2,64    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   96,86
18:25:46       0    3,06    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   95,92
18:25:46       1    1,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
18:25:46       2    3,06    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,94
18:25:46       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:46       4   23,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   75,00
18:25:46       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:46       6    5,05    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   92,93
18:25:46       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:46       8    2,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
18:25:46       9    2,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
18:25:46      10    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
18:25:46      11    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
18:25:46      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:46      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:46      14    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
18:25:46      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

18:25:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:25:47     all    2,45    0,00    1,13    0,06    0,00    0,00    0,00    0,00    0,00   96,35
18:25:47       0   10,10    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   87,88
18:25:47       1    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
18:25:47       2    8,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   91,00
18:25:47       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:47       4    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
18:25:47       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:47       6    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
18:25:47       7    2,04    0,00    7,14    0,00    0,00    0,00    0,00    0,00    0,00   90,82
18:25:47       8    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
18:25:47       9    8,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   91,00
18:25:47      10    4,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
18:25:47      11    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:47      12    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:47      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:47      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
